,W,H,C_IN,KERNEL,C_OUT,STRIDE,PAD,,Layer name
,,,,,,,,
MobileNet_1.0_224,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1  
MobileNet_1.0_224,112,112,32,1,64,1,0,,Conv2d_1
MobileNet_1.0_224,14,14,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_224,14,14,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_224,28,28,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_224,28,28,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_224,56,56,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_224,56,56,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_224,7,7,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_224,7,7,512,1,1024,1,0,,Conv2d_12
,,,,,,,,
MobileNet_1.0_192,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_1.0_192,12,12,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_192,12,12,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_192,24,24,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_192,24,24,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_192,48,48,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_192,48,48,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_192,6,6,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_192,6,6,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_192,96,96,32,1,64,1,0,,Conv2d_1
,,,,,,,,
MobileNet_1.0_160,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_1.0_160,10,10,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_160,10,10,512,1,512,1,0,,Conv2d_9
MobileNet_1.0_160,20,20,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_160,20,20,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_160,40,40,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_160,40,40,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_160,5,5,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_160,5,5,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_160,80,80,32,1,64,1,0,,Conv2d_1
,,,,,,,,
MobileNet_1.0_128,1,1,1024,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_1.0_128,16,16,128,1,256,1,0,,Conv2d_4
MobileNet_1.0_128,16,16,256,1,256,1,0,,Conv2d_5
MobileNet_1.0_128,32,32,128,1,128,1,0,,Conv2d_3
MobileNet_1.0_128,32,32,64,1,128,1,0,,Conv2d_2
MobileNet_1.0_128,4,4,1024,1,1024,1,0,,Conv2d_13
MobileNet_1.0_128,4,4,512,1,1024,1,0,,Conv2d_12
MobileNet_1.0_128,64,64,32,1,64,1,0,,Conv2d_1
MobileNet_1.0_128,8,8,256,1,512,1,0,,Conv2d_6
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_10
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_11
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_7
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_8
MobileNet_1.0_128,8,8,512,1,512,1,0,,Conv2d_9
,,,,,,,,
MobileNet_0.75_224,1,1,768,1,1001,1,0,,Logits_Conv2d_1c_1x1
MobileNet_0.75_224,112,112,24,1,48,1,0,,Conv2d_1
MobileNet_0.75_224,14,14,192,1,384,1,0,,Conv2d_6
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_10
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_11
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_7
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_8
MobileNet_0.75_224,14,14,384,1,384,1,0,,Conv2d_9
MobileNet_0.75_224,28,28,192,1,192,1,0,,Conv2d_5
MobileNet_0.75_224,28,28,96,1,192,1,0,,Conv2d_4
MobileNet_0.75_224,56,56,48,1,96,1,0,,Conv2d_2
MobileNet_0.75_224,56,56,96,1,96,1,0,,Conv2d_3
MobileNet_0.75_224,7,7,384,1,768,1,0,,Conv2d_12
MobileNet_0.75_224,7,7,768,1,768,1,0,,Conv2d_13
