,W,H,C_IN,KERNEL,C_OUT,STRIDE,PAD,,Layer name
InceptionV3,73,73,64,1,80,1,0,,Conv2d_3b
InceptionV3,35,35,192,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,192,1,48,1,0,,Branch_1_Conv2d_0a
InceptionV3,35,35,192,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,192,1,32,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,256,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,256,1,48,1,0,,Branch_1_Conv2d_0b
InceptionV3,35,35,256,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,256,1,64,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,288,1,64,1,0,,Branch_0_Conv2d_0a
InceptionV3,35,35,288,1,48,1,0,,Branch_1_Conv2d_0a
InceptionV3,35,35,288,1,64,1,0,,Branch_2_Conv2d_0a
InceptionV3,35,35,288,1,64,1,0,,Branch_3_Conv2d_0b
InceptionV3,35,35,288,1,64,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,128,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,128,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,160,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_1_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_2_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,17,17,768,1,192,1,0,,Branch_0_Conv2d_0a
InceptionV3,17,17,768,1,192,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,1280,1,320,1,0,,Branch_0_Conv2d_0a
InceptionV3,8,8,1280,1,384,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,1280,1,448,1,0,,Branch_2_Conv2d_0a
InceptionV3,8,8,1280,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,8,8,2048,1,320,1,0,,Branch_0_Conv2d_0a
InceptionV3,8,8,2048,1,384,1,0,,Branch_1_Conv2d_0a
InceptionV3,8,8,2048,1,448,1,0,,Branch_2_Conv2d_0a
InceptionV3,8,8,2048,1,192,1,0,,Branch_3_Conv2d_0b
InceptionV3,1,1,2048,1,1001,1,0,,Logits_Conv2d_1c
